Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.2019 dE=0.1743  readout_only.TVD=0.1493 dE=0.1108  oracle_binomial.TVD=0.0336 dE=0.0251  gdr_param.TVD=0.0355 dE=0.0279  gdr_select.TVD=0.0355 dE=0.0279

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0539   0.0024   0.0000
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0446   0.0010   0.0000
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0590   0.0010   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0388   0.0009   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0385   0.0009   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0395   0.0009   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0590   0.0010   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0590   0.0010   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0388   0.0009   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0393   0.0009   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.1121   0.0000   0.0000
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —   
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1234   0.0040   0.0004
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1254   0.0031   0.0003
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2310   0.0027   0.0000
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2268   0.0009   0.0000
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3278   0.0007   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1551   0.0006   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1519   0.0006   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1558   0.0005   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.3007   0.0000   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3007   0.0000   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1603   0.0006   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1519   0.0006   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.2819   0.0000   0.0000
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —   
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1975   0.0069   0.0000
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1939   0.0033   0.0000
snap   random     comprehensive             0.100 readout_realistic  raw                  0.4121   0.0016   0.0000
snap   random     comprehensive             0.100 readout_realistic  readout_only         0.4116   0.0005   0.0000
snap   random     comprehensive             0.100 readout_realistic  oracle_binomial      0.7932   0.0000   0.0000
snap   random     comprehensive             0.100 readout_realistic  gdr_param            0.3071   0.0000   0.0000
