Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1928 dE=0.1578 GS=Y  readout_only.TVD=0.1356 dE=0.1097 GS=Y  oracle_binomial.TVD=0.0478 dE=0.0200 GS=Y  gdr_param.TVD=0.0545 dE=0.0146 GS=Y  gdr_select.TVD=0.0545 dE=0.0146 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0776   0.0021   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0591   0.0009   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0544   0.0010   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0511   0.0009   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0591   0.0009   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0505   0.0008   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0565   0.0008   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0565   0.0008   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0511   0.0009   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0504   0.0009   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.0518   0.0011   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0017     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1193   0.0046   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1128   0.0038   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.3185   0.0029   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.3082   0.0019   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3602   0.0015   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.2426   0.0013   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.2487   0.0016   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.2625   0.0017   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.2365   0.0017   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2365   0.0017   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.2426   0.0013   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.2487   0.0016   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.4128   0.0016   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0044     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.2123   0.0056   0.0008   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2030   0.0049   0.0004   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.5500   0.0060   0.0001   N
