Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1774 dE=0.1452  readout_only.TVD=0.1353 dE=0.1035  oracle_binomial.TVD=0.0880 dE=0.0145  gdr_param.TVD=0.0777 dE=0.0482  gdr_select.TVD=0.0777 dE=0.0482

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0730   0.0001   0.0005
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0584   0.0002   0.0000
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0409   0.0002   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0403   0.0002   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0407   0.0002   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0413   0.0002   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0409   0.0002   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0409   0.0002   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0403   0.0002   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0414   0.0002   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.2488   0.0000   0.0000
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —   
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1294   0.0002   0.0007
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1317   0.0000   0.0000
snap   random     comprehensive             0.030 readout_realistic  raw                  0.3009   0.0004   0.0005
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2920   0.0002   0.0000
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3303   0.0000   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1956   0.0002   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.2003   0.0002   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.2049   0.0002   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.1892   0.0004   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1892   0.0004   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1956   0.0002   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1975   0.0002   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.5615   0.0000   0.0000
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —   
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.2447   0.0004   0.0020
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2364   0.0007   0.0012
snap   random     comprehensive             0.100 readout_realistic  raw                  0.4821   0.0004   0.0005
snap   random     comprehensive             0.100 readout_realistic  readout_only         0.4795   0.0002   0.0000
snap   random     comprehensive             0.100 readout_realistic  oracle_binomial      0.7992   0.0001   0.0000
snap   random     comprehensive             0.100 readout_realistic  gdr_param            0.4318   0.0000   0.0000
