Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1898 dE=0.1537 GS=Y  readout_only.TVD=0.1259 dE=0.0988 GS=Y  oracle_binomial.TVD=0.0488 dE=0.0274 GS=Y  gdr_param.TVD=0.0291 dE=0.0137 GS=Y  gdr_select.TVD=0.0291 dE=0.0137 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0452   0.0024   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0444   0.0007   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0595   0.0008   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0467   0.0007   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0444   0.0007   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0467   0.0007   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0595   0.0008   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0595   0.0008   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0467   0.0007   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0458   0.0007   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.1181   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1506   0.0042   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1537   0.0012   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.1314   0.0029   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.1271   0.0007   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3322   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.0629   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.0634   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.0634   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.2384   0.0005   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2384   0.0005   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.0629   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.0634   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.2449   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1453   0.0061   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1428   0.0036   0.0000   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.3193   0.0023   0.0000   N
