Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.2080 dE=0.1626 GS=Y  readout_only.TVD=0.1523 dE=0.1190 GS=Y  oracle_binomial.TVD=0.0570 dE=0.0049 GS=Y  gdr_param.TVD=0.0529 dE=0.0151 GS=Y  gdr_select.TVD=0.0529 dE=0.0151 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0363   0.0016   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0288   0.0007   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0465   0.0007   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0285   0.0006   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0288   0.0007   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0277   0.0006   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0440   0.0007   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0440   0.0007   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0285   0.0006   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0277   0.0006   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.1516   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1621   0.0019   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1679   0.0009   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.1341   0.0015   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.1337   0.0003   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3771   0.0002   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1460   0.0001   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1281   0.0000   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1461   0.0002   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.3800   0.0005   0.0005   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3800   0.0005   0.0005   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1460   0.0001   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1237   0.0000   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.4526   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1490   0.0030   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1498   0.0021   0.0000   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.3086   0.0029   0.0000   N
