Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1204 dE=0.1141 GS=Y  readout_only.TVD=0.0798 dE=0.0765 GS=Y  oracle_binomial.TVD=0.0353 dE=0.0205 GS=Y  gdr_param.TVD=0.0360 dE=0.0218 GS=Y  gdr_select.TVD=0.0360 dE=0.0218 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0725   0.0290   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0583   0.0239   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0586   0.0023   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0466   0.0140   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0490   0.0199   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0466   0.0139   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0570   0.0015   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0570   0.0015   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0467   0.0134   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0466   0.0140   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.1084   0.0555   0.0023   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0196     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1526   0.0262   0.0010   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1527   0.0227   0.0011   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2700   0.0869   0.0060   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2643   0.0852   0.0059   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3387   0.0070   0.0192   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1717   0.0560   0.0147   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1584   0.0590   0.0138   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1764   0.0565   0.0149   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.3087   0.1040   0.0116   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3087   0.1040   0.0116   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1717   0.0560   0.0147   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1727   0.0590   0.0148   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.2764   0.1828   0.0023   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0745     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.2174   0.0637   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2138   0.0637   0.0000   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.4829   0.1223   0.0038   N
