Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1838 dE=0.1245 GS=Y  readout_only.TVD=0.1401 dE=0.0914 GS=Y  oracle_binomial.TVD=0.1138 dE=0.0102 GS=Y  gdr_param.TVD=0.0713 dE=0.0014 GS=Y  gdr_select.TVD=0.0713 dE=0.0014 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0973   0.0058   0.0011   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0835   0.0069   0.0004   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0820   0.0095   0.0061   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0662   0.0019   0.0037   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0621   0.0029   0.0028   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0639   0.0016   0.0020   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0864   0.0062   0.0067   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0864   0.0062   0.0067   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0662   0.0019   0.0037   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0615   0.0034   0.0024   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.1231   0.0050   0.0103   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0078     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1842   0.0105   0.0014   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1901   0.0108   0.0018   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.2519   0.0334   0.0101   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.2479   0.0353   0.0100   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3435   0.0146   0.0121   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1929   0.0030   0.0025   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1874   0.0079   0.0036   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1823   0.0068   0.0040   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.2739   0.0531   0.0422   Y
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2739   0.0531   0.0422   Y
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1922   0.0036   0.0018   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1823   0.0068   0.0040   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.2890   0.0035   0.0116   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0263     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.2417   0.0154   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2462   0.0163   0.0004   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.4267   0.0878   0.0153   N
